,,,,master_tips,比赛结束，请回“挑战大厅”开始新一轮比赛,比賽結束，請回“挑戰大廳”開始新一輪比賽,Competition over. Please return to the Hall to join the new one.,"Se acaba la competición, vuelve al salón para empezar de nuevo","Соревнование закончено, вернитесь на ""Арену"", чтобы начать новую попытку","O desafio acabou, por favor volte para o Salão e reinicie um novo desafio.","Spiel endet, bitte zurück zur Halle, damit du neues Spiel beginnen kannst.","시합 종료, '홀'에 들어가서 다시 시합 진행할 수 있습니다",試合終了、ホールに戻って新しい試合を始めましょう！,"Jeu fini, veuillez rentrer à la Salle pour une nouvelle compétition.",Partita Lega finita. Ritorna a ricominciare un'altra nuova.,"تم انتهاء مباراة التحدي للخبراء، يرجى العودة إلى ""القاعة"" لبدء مباراة جديدة",Maç bitmişti. Lütfen Salon'a gidin ve yeni maça başlayın.,"Pertandingan sudah selesai,silakan kembali ke arena mulai pertandingan baru",,
,,,,master_sharerank,大师挑战赛，我排第%1$d名，你能打败我吗？,大師挑戰賽，我排第%1$d名，你能打敗我嗎？,I ranked No.%1$d in Master challenge. Can you beat me?,"Desafío de Experto, soy No. %1$d, ¿me puedes vencer?","В соревновании виртуозов я на %1$d месте, а ты сможешь меня обогнать?",Ocupei o %1$dº lugar no Desafio Mestre! Consegue me vencer?,"Ich bin im %1$d Platz im Meister-Spiel, kannst du mich schlagen?",나의 마스터 첼린지 순위가 %1$d등! 초월할 수 있나요?,マスターズランキング%1$d位，私と勝負しませんか？,Mon classement est le %1$d dans Maître. Pouvez-vous me battre?,Sono al %1$d nella partita Oro. Sfidami?,أنا في المرتبة ال%1$d في مباراة التحدي للخبراء، هل تستطيع أن تتغلب علي؟,Usta Meydan Okuma Yarışmalarında sıram %1$d. Beni yenebilir misin?,"Peringkat %1$d di pertandingan master, bisakah Anda memenangi saya?",,
,,,,master_sharespeed,大师挑战赛，我的手速%1$s块/秒，你能打败我吗？,大師挑戰賽，我的手速%1$s塊/秒，你能打敗我嗎？,I reached %1$s tiles/s in Master challenge. Can you beat me?,"Desafío de Experto, mi velocidad es %1$s teclas/s, ¿me puedes vencer?","В соревновании виртуозов моя скорость %1$s плит/сек, а ты сможешь меня обогнать?",Conseguei %1$s teclas/s no Desafio Mestre! Pode me vencer?,"Meine Tippgeschwindigkeit ist %1$s Block/Sek. im Meister-Spiel, kannst du mich schlagen?",나의 마스터 첼린지 속도가 %1$s 타일/초! 초월할 수 있나요?,マスターズクリックスピード%1$s枚/秒，あなたは私を越えられますか？,Ma vitesse était %1$s/s dans Maître. Pouvez-vous me battre?,La velocità di mia mano è %1$s Tiles/s. Sfidami?,تبلغ سرعة أصابعي %1$s تايلز/ثانية، هل تستطيع أن تتغلب علي؟,Usta Meydan Okuma Yarışmalarında el hızım %1$s tuş/s. Beni yenebilir misin?,"Kecepatan saya %1$s tuts/detik di pertandingan master,bisakah Anda memenangi saya?",,
,,,,master_sharerank_ios,大师挑战赛，我排第%@名，你能打败我吗？,大師挑戰賽，我排第%@名，你能打敗我嗎？,I ranked No.%@ in Master challenge. Can you beat me?,"Desafío de Experto, soy No. %@, ¿me puedes vencer?","В соревновании виртуозов я на %@ месте, а ты сможешь меня обогнать?",Ocupei o %@º lugar no Desafio Mestre! Consegue me vencer?,"Ich bin im %@ Platz im Meister-Spiel, kannst du mich schlagen?",나의 마스터 첼린지 순위가 %@등! 초월할 수 있나요?,マスターズランキング%@位，私と勝負しませんか？,Mon classement est le %@ dans Maître. Pouvez-vous me battre?,Sono al %@ nella partita Oro. Sfidami?,أنا في المرتبة ال%@ في مباراة التحدي للخبراء، هل تستطيع أن تتغلب علي؟,Usta Meydan Okuma Yarışmalarında sıram %@. Beni yenebilir misin?,"Peringkat %@ di pertandingan master, bisakah Anda memenangi saya?",,
,,,,master_sharespeed_ios,大师挑战赛，我的手速%@块/秒，你能打败我吗？,大師挑戰賽，我的手速%@塊/秒，你能打敗我嗎？,I reached %@ tiles/s in Master challenge. Can you beat me?,"Desafío de Experto, mi velocidad es %@ teclas/s, ¿me puedes vencer?","В соревновании виртуозов моя скорость %@ плит/сек, а ты сможешь меня обогнать?",Conseguei %@ teclas/s no Desafio Mestre! Pode me vencer?,"Meine Tippgeschwindigkeit ist %@ Block/Sek. im Meister-Spiel, kannst du mich schlagen?",나의 마스터 첼린지 속도가 %@ 타일/초! 초월할 수 있나요?,マスターズクリックスピード%@枚/秒，あなたは私を越えられますか？,Ma vitesse était %@/s dans Maître. Pouvez-vous me battre?,La velocità di mia mano è %@ Tiles/s. Sfidami?,تبلغ سرعة أصابعي %@ تايلز/ثانية، هل تستطيع أن تتغلب علي؟,Usta Meydan Okuma Yarışmalarında el hızım %@ tuş/s. Beni yenebilir misin?,"Kecepatan saya %@ tuts/detik di pertandingan master,bisakah Anda memenangi saya?",,
,,,,master_Cross1,比赛结束,比賽結束,Competition over,Acaba la competición,Конкурс закончен,A competição acabou.,Spiel endet,시합 종료,試合終了,Compétition finie,La partita è finita.,تم انتهاء المباراة,Maç bitmişti,Duel selesai,,
,,,,master_Cross2,请回“挑战大厅”开始新比赛,請回“挑戰大廳”開始新比賽,Return to the Hall to start a new one.,"A ""Salón de Desafío"" para empezar","Вернитесь на Арену, начните заново",Reinicie uma nova no Salão,"Zurück zur Halle, um Spiel zu starten",홀'에 돌아가서 새로운 시합 진행하세요,ホールに戻って、次の試合に行こう！,Revenez à la salle pour un nouveau jeu,Torna a Lega a ricominciare una nuova.,"يرجى العودة إلى ""القاعة"" لبدء مباراة جديدة",Lütfen salona dönüp yeni maçı açın,Kembali ke Arena mulai yang baru,,
,,,,master_result_net,请连接网络，同步最佳成绩,請連接網絡，同步最佳成績,"Connect to the internet, sync best score","Conecta a internet, sincroniza el mejor","Подключи интернет, узнай рейтинг",Sincronize a melhor pontuação com rede,"Internet verbinden, Highscore synchronisieren","인터넷 접속하여, 최고 점수 동기화",インターネットに接続してスコアを更新,Se connecter pour synchroniser max score,Bisogna internet sincronizzare il migliore.,الاتصال بالانترنت لمزامنة النتيجة الأفضل,İnternet bağlanın ve en iyi puan eşitle,"Join internet,mensinkronkan hasil terbaik",,
任务成就,任务1,标题1,,mission1_title1,戴耳机完成,戴耳机完成,Complete,Completar,В наушниках наберите,Complete,Erledige,이어폰 끼고,イヤホンを装着して,Accomplir,Completa con le cuffie,استخدام السماعة,Kulaklıkla,Pakai earphone ,,
,,标题2,,mission1_title2,弹奏,弹奏,song wearing earphones,con auriculares,в песне,com fones de ouvido,", spiel es mit Kopfhörer",연주 달성하세요,を演奏,avec les écouteurs,Suona,للعب,Oynamaya başlayın,menyelesaikan ,,
,,开始,,mission1_play,挑战,挑戰,Challenge,Desafío,Сразиться,Desafio,Spielen,도전,挑戦,Défi,Sfida,التحدي,Başla,Tantangan,,
,,再来,,mission1_replay,重试,重试,Try again,Otra vez,Еще раз,De novo,Weiter,재 도전,もう一度,Redéfier,Riprova!,حاول مجددا,Tekrar ,Coba lagi,,
,,领取,,mission1_receive,领取,領取,Receive,Recibir,Получить,Receber,Holen,받기,受け取る,Recevez,Ricevi,تلقي,Al,Menerima,,
,,耳机,,mission1_headphone,请佩戴耳机发起挑战,请佩戴耳机发起挑战,Wear earphones to challenge,Ponte auriculares para desafiar,"Чтобы начать, используйте наушники",Precisa fones de ouvido para desafiar,"Mit Kopfhörer, um es herauszufordern",도전하려면 이어폰을 껴야합니다,イヤホンを装着して挑戦してください,Lancer les défis avec les écouteurs,Bisogna indossare le cuffie per la sfida,بدء اللعبة في حال استخدام السماعة,Yarışmaya başlamak için kulaklık giyin,Menantang harus pakai earphone,,
,任务2,标题,,mission2_title1,弹奏这些精选音乐,彈奏這些精選音樂,Play selected songs,Tocar la música selecta,Играйте данные мелодии,Jogue músicas selecionadas,Spiel die ausgewählten Lieder,특선곡을 연주하세요,セレクションソングを演奏する,Jouer la sélection,Suona le canzoni selezionate,لعب هذه الأغاني المقترحة,Seçkin müzikleri oynayın,Main lagu terpilih ini,,
,,开始,,mission2_play,开始,開始,Play,Jugar,Играть,Jogar,Spielen,플레이,プレイ,Jouer,Gioca,إلعب,Oyna,Main,,
,,继续,,mission2_continue,继续,繼續,Continue,Continuar,Далее,Continue,Weiter,계속하기,次へ,Continuer,Continua,استمر,Oyna,Terus,,
,,弹窗标题,,mission2_title2,未购买的歌曲,未購買的樂曲,Unpaid songs,Las no compradas,Не купленные песни,Música não comprada,unbezahlte Lieder,미구매 곡,未購入の楽曲,Morceaux non achetés,Canzoni non pagate,الأغاني غير المدفوعة,Satın alınmamış şark,Lagu belum dibeli,,
,,弹窗详情,,mission2_details,如果你喜欢请在精选歌曲中购买,如果你喜歡請在精選音樂中購買,If you like it you can purchase in Selection,"Si te gusta, cómprala en la música selecta","Купите их во вкладке ""Лучшее""","Se gostar, compre-a em Seleção",Kauf sie bei ausgewählten Musiken,좋아하시면 특선 뮤직에서 구매하세요,セレクトショップで購入しましょう！,Achetez-le dans la sélection si vous l'aimez.,"Se ti piace, compra nelle canzoni selezionate","تفضل بشراء هذه الأغاني في صفحة ""النخبة"" إذا تحبها",Eğer beğenirsen seçkin müziklerde satın alın ,Jika suka beliin di pilihan lagu,,
,,耳机,,mission2_headphone,体验乐曲需要佩戴耳机,體驗樂曲需要佩戴耳機,Wear earphones to play,Con auriculares para disfrutarla,"Чтобы начать, используйте наушники",Jogue músicas usando fones de ouvido,Mit Kopfhörer ist besser!,이어폰을 껴서 체험해보세요,イヤホンを装着しましょう！,Jouer la musique avec les écouteurs,Indossa le cuffie per provare le canzoni,التمتع بالأغاني في حال استخدام السماعة,Müzikleri denemek için kulaklık takın,Menikmati lagu harus pakai earphone,,
,,弹窗按钮,,mission2_button,体验一下,體驗一下,Try,A probar,Испытать ,Tente já!,Erfahr mal!,체험해보기,お試しあれ！,Essayer,Prova,تجريبها,Bir deneyin,Coba,,
,成就,标题前,,achievement_title1,收集,收集,Collect ,Juntar,Набрать,Coletar,sammeln,수집,を集める,Collecter,Raccogli,جمع,Toplan,Mengumpulkan,,
,提示,无网络,,mission_network,领取失败，请连接网络,領取失敗，請連接網絡,"Failure, please connect to network","No la consigues, conecta a internet","Ошибка, подключите интернет","Não recebeu, favor verificar a rede","Gescheitert,bitte vinbinde mit WLAN",네트워크 접속하여 수령하세요,インターネットに接続してください,"Échec, connectez-vous!",Preso fallito. Connetti co'lnternet,فاشل التلقي، يرجى الاتصال بالانترنت,"Ağ kullanılamaz,lütfen kontrol edin","Gagal diterima,coba koneksi dengan internet.",,
,,今日已领取,,mission_repeat,今天已经领取过奖励了,今天已經領取過獎勵了,You've received rewards today,Has tenido el bonus de hoy,Сегодня награда уже получена,Você já pegou prêmios de hoje,Heutige Belohnung geholt,오늘 보상 이미 수령했습니다,本日のボーナスは受け取りました,Vous l'avez pris aujourd'hui ,Compenso di oggi già preso,قد تلقيت المكافأة اليوم,Bugün artık alındı,Hari ini sudah dapat hadiah,,
,,日期校验失败,,mission_data,游戏日期错误，无法领取奖励,遊戲日期錯誤，無法領取獎勵,"Wrong game day, unable to get rewards","Fecha incorrecta, no bonus","Дата не верна, не получено",Erro em data. Não pode pegar.,"Datum falsch, keine Belohnung","게임 기간 틀림, 보상 수령 불가",エラー発生、ボーナス受取失敗,Mauvaise date.Prise impossible,"Errore di data, ricevere fallito",فشل تلقي المكافأة بسبب موعد خاطئ,"Tarihi hatalı, ödül alınamaz","Tanggal game salah,ngga bisa diterima",,
,,服务校验失败,,achievement_fail,领取失败,領取失敗,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,Failed!,,
桌面弹窗,弹窗文案,弹奏总结上句,,desktoppopup_played1,弹奏了,彈奏了,Played,Ya,Сыграно песен: ,Jogou,,,,,,,,Main,,
,,弹奏总结下句,,desktoppopup_played2,首歌曲,首歌曲,song,canción,,música,Lied gespielt,곡 연주했어요,曲を演奏した,morceau joué,canzone suonata,عدد أغاني تلعبها:,şarkı oynandı,lagu,,
,,弹奏总结特殊上句,,desktoppopup_played1s,弹奏了,彈奏了,Played,Ya,Сыграно песен: ,Jogou,,,,,,,,Main,,
,,弹奏总结特殊下句,,desktoppopup_played2s,首歌曲,首歌曲,songs,canciones,,músicas,Lieder gespielt,곡 연주했어요,曲を演奏した,morceaux joués,canzoni suonate,عدد أغاني تلعبها:,şarkı oynandı,lagu,,
游戏推荐,家族游戏,入口,,familygame_entrance,更多游戏,更多遊戲,More games,Más juegos,Больше игр,Mais jogos,Mehr Spiele,더 많은 게임,他のゲ-ムを見る,Plus de jeux,Più giochi,مزيد من الألعاب,Daha fazla ,Lebih banyak game,,
,碎片,通知栏,GP,notification_xmas1_tit,送你复活节神秘礼物!,送你復活節神秘禮物!,A secret Easter gift for you!,Tu regalo misterioso de Pascua!,Дарим вам секретный подарок Пасхи!,um presente mistério de Páscoa!,Ein geheimes Geschenk für dich!,신비한 부활절 선물 드립니다!,復活祭ミステリープレゼント!,Cadeau mystérieux de Pâques!,Regalo misterioso di Pasqua per te!,نقدم لك هدية سرية لعيد الفصح!,Paskalya gizli hediyesıalındı!,Hadiah Easter gratis buat lu!,,
